year_month,type,total_cost,consumption_water,power_consumption,heat_consumption
2024-10,Water,0.5609485,0.293,,
2024-10,Water,0.8366365,0.437,,
2024-10,Water,1.3190905,0.689,,
2024-10,Water,0.3829,0.2,,
2024-10,Water,1.374611,0.718,,
2024-10,Water,0.8825845000000001,0.461,,
2024-10,Water,0.72751,0.38,,
2024-10,Water,1.3880125,0.725,,
2024-10,Water,0.5264875000000001,0.275,,
2024-10,Water,0.8883280000000001,0.464,,
2024-10,Water,0.26803000000000005,0.14,,
2024-10,Water,0.670075,0.35,,
2024-10,Water,1.6024365,0.837,,
2024-10,Water,0.7313390000000001,0.382,,
2024-10,Water,0.5839225,0.305,,
2024-10,Water,0.7562275,0.395,,
2024-10,Water,0.9381050000000001,0.49,,
2024-10,Water,0.451822,0.236,,
2024-10,Water,0.9400195,0.491,,
2024-10,Water,0.9017295,0.471,,
2024-10,Water,1.1276405,0.589,,
2024-10,Water,0.7983465,0.417,,
2024-10,Water,1.1831610000000001,0.618,,
2024-10,Water,0.4499075,0.235,,
2024-10,Water,1.4339605,0.749,,
2024-10,Water,0.601153,0.314,,
2024-10,Water,0.5150005000000001,0.269,,
2024-10,Water,0.712194,0.372,,
2024-10,Water,1.5105405,0.789,,
2024-10,Water,0.677733,0.354,,
2024-10,Water,0.708365,0.37,,
2024-11,Water,0.827064,0.432,,
2024-11,Water,0.903644,0.472,,
2024-11,Water,0.6949635000000001,0.363,,
2024-11,Water,0.7160230000000001,0.374,,
2024-11,Water,1.0012835,0.523,,
2024-11,Water,0.9840530000000001,0.514,,
2024-11,Water,0.44033500000000003,0.23,,
2024-11,Water,0.604982,0.316,,
2024-11,Water,0.6547590000000001,0.342,,
2024-11,Water,1.4109865000000001,0.737,,
2024-11,Water,0.7543130000000001,0.394,,
2024-11,Water,0.930447,0.486,,
2024-11,Water,0.635614,0.332,,
2024-11,Water,0.9955400000000001,0.52,,
2024-11,Water,0.4652235,0.243,,
2024-11,Water,0.7160230000000001,0.374,,
2024-11,Water,1.171674,0.612,,
2024-11,Water,1.0051125,0.525,,
2024-11,Water,0.7160230000000001,0.374,,
2024-11,Water,1.4492765,0.757,,
2024-11,Water,0.528402,0.276,,
2024-11,Water,1.566061,0.818,,
2024-11,Water,0.819406,0.428,,
2024-11,Water,0.463309,0.242,,
2024-11,Water,0.750484,0.392,,
2024-11,Water,0.9744805000000001,0.509,,
2024-11,Water,0.551376,0.288,,
2024-11,Water,0.6222125000000001,0.325,,
2024-11,Water,0.658588,0.344,,
2024-11,Water,0.735168,0.384,,
2024-12,Water,0.6719895,0.351,,
2024-12,Water,0.6873055,0.359,,
2024-12,Water,0.8825845000000001,0.461,,
2024-12,Water,0.7600565,0.397,,
2024-12,Water,1.079778,0.564,,
2024-12,Water,0.8366365,0.437,,
2024-12,Water,0.413532,0.216,,
2024-10,Power,1.76,,7.13,
2024-10,Power,1.76,,7.14,
2024-10,Power,1.76,,7.12,
2024-10,Power,1.75,,7.11,
2024-10,Power,1.82,,7.36,
2024-10,Power,1.93,,7.81,
2024-10,Power,1.82,,7.36,
2024-10,Power,1.8,,7.31,
2024-10,Power,1.8,,7.31,
2024-10,Power,1.8,,7.3,
2024-10,Power,1.8,,7.31,
2024-10,Power,1.86,,7.56,
2024-10,Power,1.85,,7.49,
2024-10,Power,1.78,,7.2,
2024-10,Power,1.76,,7.14,
2024-10,Power,1.76,,7.15,
2024-10,Power,1.76,,7.15,
2024-10,Power,1.76,,7.14,
2024-10,Power,1.82,,7.36,
2024-10,Power,1.86,,7.52,
2024-10,Power,1.83,,7.4,
2024-10,Power,1.81,,7.35,
2024-10,Power,1.82,,7.36,
2024-10,Power,1.82,,7.36,
2024-10,Power,1.82,,7.37,
2024-10,Power,1.85,,7.51,
2024-10,Power,2.1,,8.5,
2024-10,Power,1.98,,8.01,
2024-10,Power,1.96,,7.96,
2024-10,Power,1.98,,8.01,
2024-10,Power,1.99,,8.06,
2024-11,Power,2.0,,8.11,
2024-11,Power,2.04,,8.28,
2024-11,Power,2.1,,8.51,
2024-11,Power,2.04,,8.27,
2024-11,Power,2.03,,8.22,
2024-11,Power,2.04,,8.26,
2024-11,Power,2.05,,8.32,
2024-11,Power,2.05,,8.32,
2024-11,Power,2.08,,8.43,
2024-11,Power,2.15,,8.71,
2024-11,Power,2.09,,8.47,
2024-11,Power,2.08,,8.43,
2024-11,Power,2.41,,9.75,
2024-11,Power,2.42,,9.8,
2024-11,Power,2.42,,9.81,
2024-11,Power,2.43,,9.87,
2024-11,Power,2.52,,10.23,
2024-11,Power,2.46,,9.98,
2024-11,Power,2.45,,9.92,
2024-11,Power,2.46,,9.98,
2024-11,Power,2.47,,10.03,
2024-11,Power,2.47,,10.03,
2024-11,Power,2.47,,10.02,
2024-11,Power,2.57,,10.43,
2024-11,Power,2.52,,10.2,
2024-11,Power,2.5,,10.13,
2024-11,Power,2.51,,10.19,
2024-11,Power,2.52,,10.23,
2024-11,Power,2.52,,10.23,
2024-11,Power,2.33,,9.46,
2024-12,Power,2.43,,9.87,
2024-12,Power,2.39,,9.67,
2024-12,Power,2.37,,9.61,
2024-12,Power,2.38,,9.65,
2024-12,Power,2.39,,9.69,
2024-12,Power,2.39,,9.68,
2024-12,Power,2.36,,9.58,
2024-10,Heat,0.27087,,,3.0
2024-10,Heat,0.36116,,,4.0
2024-10,Heat,0.8126099999999999,,,9.0
2024-10,Heat,0.18058,,,2.0
2024-10,Heat,0.9931899999999999,,,11.0
2024-10,Heat,0.45144999999999996,,,5.0
2024-10,Heat,0.45144999999999996,,,5.0
2024-10,Heat,0.72232,,,8.0
2024-10,Heat,0.18058,,,2.0
2024-10,Heat,0.63203,,,7.0
2024-10,Heat,0.18058,,,2.0
2024-10,Heat,0.36116,,,4.0
2024-10,Heat,1.08348,,,12.0
2024-10,Heat,0.54174,,,6.0
2024-10,Heat,0.27087,,,3.0
