temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,wind_speed,date,time,datetime,humidity_normalized,pressure_normalized,temp_status,feels_like_status,pressure_status,wind_status
7.23,3.15,6.36,7.73,1031,83,1031,1026,7.72,2024-12-09,10:31,2024-12-09 10:31:00,0.6129032258064516,0.9555555555555556,Cold,Feels much colder,High pressure,Moderate wind
3.58,1.16,2.46,5.07,1027,94,1027,1022,2.57,2024-11-29,06:30,2024-11-29 06:30:00,0.967741935483871,0.8666666666666667,Cold,Feels similar,High pressure,Low wind
9.25,6.6,8.35,10.09,1019,88,1019,1015,5.14,2024-12-04,21:31,2024-12-04 21:31:00,0.7741935483870968,0.6888888888888889,Cold,Feels similar,High pressure,Moderate wind
7.28,4.13,5.65,8.55,1008,79,1008,1004,5.14,2024-11-25,20:29,2024-11-25 20:29:00,0.4838709677419355,0.4444444444444444,Cold,Feels similar,Low pressure,Moderate wind
5.97,3.99,5.01,7.44,1020,88,1020,1015,2.57,2024-12-03,00:30,2024-12-03 00:30:00,0.7741935483870968,0.7111111111111111,Cold,Feels similar,High pressure,Low wind
10.18,9.66,9.0,11.19,997,92,997,992,4.63,2024-11-25,06:29,2024-11-25 06:29:00,0.9032258064516129,0.2,Warm,Feels similar,Low pressure,Low wind
4.77,3.63,2.82,5.83,1029,87,1029,1024,1.54,2024-11-28,16:29,2024-11-28 16:29:00,0.7419354838709677,0.9111111111111111,Cold,Feels similar,High pressure,Low wind
9.01,5.93,7.52,10.03,1005,74,1005,1001,6.17,2024-11-25,17:29,2024-11-25 17:29:00,0.3225806451612903,0.37777777777777777,Cold,Feels similar,Low pressure,Moderate wind
16.26,15.82,14.6,17.27,994,72,994,990,11.32,2024-11-24,17:29,2024-11-24 17:29:00,0.25806451612903225,0.13333333333333333,Warm,Feels similar,Low pressure,High wind
2.69,1.55,1.4,3.92,1029,93,1029,1024,1.34,2024-11-28,10:29,2024-11-28 10:29:00,0.9354838709677419,0.9111111111111111,Cold,Feels similar,High pressure,Low wind
7.63,3.99,6.9,8.42,1023,90,1023,1019,6.69,2024-12-08,19:31,2024-12-08 19:31:00,0.8387096774193549,0.7777777777777778,Cold,Feels similar,High pressure,Moderate wind
8.4,5.74,7.18,9.14,1024,71,1024,1020,4.63,2024-11-29,16:30,2024-11-29 16:30:00,0.22580645161290322,0.8,Cold,Feels similar,High pressure,Low wind
7.68,4.24,5.66,9.46,1008,93,1008,1003,6.17,2024-11-27,04:29,2024-11-27 04:29:00,0.9354838709677419,0.4444444444444444,Cold,Feels similar,Low pressure,Moderate wind
6.97,2.82,6.34,7.81,1032,80,1032,1027,7.72,2024-12-10,13:31,2024-12-10 13:31:00,0.5161290322580645,0.9777777777777777,Cold,Feels much colder,High pressure,Moderate wind
7.81,4.06,7.18,8.38,1030,83,1030,1026,7.2,2024-12-09,16:31,2024-12-09 16:31:00,0.6129032258064516,0.9333333333333333,Cold,Feels similar,High pressure,Moderate wind
7.35,7.35,6.4,8.41,1023,79,1023,1019,1.03,2024-12-03,12:30,2024-12-03 12:30:00,0.4838709677419355,0.7777777777777778,Cold,Feels similar,High pressure,Low wind
6.05,6.05,4.05,7.22,1029,87,1029,1025,0.89,2024-11-28,13:29,2024-11-28 13:29:00,0.7419354838709677,0.9111111111111111,Cold,Feels similar,High pressure,Low wind
9.77,7.25,8.91,10.64,995,91,995,991,5.14,2024-11-25,03:29,2024-11-25 03:29:00,0.8709677419354839,0.15555555555555556,Cold,Feels similar,Low pressure,Moderate wind
11.8,11.46,11.07,12.81,1012,93,1012,1008,4.12,2024-12-01,18:30,2024-12-01 18:30:00,0.9354838709677419,0.5333333333333333,Warm,Feels similar,Low pressure,Low wind
14.13,14.03,13.31,14.81,997,93,997,993,8.75,2024-11-23,22:29,2024-11-23 22:29:00,0.9354838709677419,0.2,Warm,Feels similar,Low pressure,High wind
9.51,6.92,8.84,10.03,1014,75,1014,1010,5.14,2024-12-02,15:30,2024-12-02 15:30:00,0.3548387096774194,0.5777777777777777,Cold,Feels similar,Low pressure,Moderate wind
6.27,1.08,5.63,7.25,993,89,993,989,10.8,2024-12-07,14:31,2024-12-07 14:31:00,0.8064516129032258,0.1111111111111111,Cold,Feels much colder,Low pressure,High wind
11.85,11.55,11.09,12.27,1024,94,1024,1019,3.09,2024-11-30,09:30,2024-11-30 09:30:00,0.967741935483871,0.8,Warm,Feels similar,High pressure,Low wind
5.12,3.45,3.9,5.81,1023,90,1023,1018,2.06,2024-12-03,08:30,2024-12-03 08:30:00,0.8387096774193549,0.7777777777777778,Cold,Feels similar,High pressure,Low wind
13.62,13.47,12.85,14.53,1010,93,1010,1006,6.69,2024-12-05,10:31,2024-12-05 10:31:00,0.9354838709677419,0.4888888888888889,Warm,Feels similar,Low pressure,Moderate wind
7.2,2.56,6.35,8.23,1013,85,1013,1008,9.77,2024-12-08,05:31,2024-12-08 05:31:00,0.6774193548387096,0.5555555555555556,Cold,Feels much colder,Low pressure,High wind
