text,sentiment,sentiment_class
RT : Your Thursday London Weather Summary brought to you by #NevGsLondonWeatherSummary,0.0,Neutral
,0.0,Neutral
"Thank you for all your support,",0.0,Neutral
"""London weather builds character, but Id rather have warm toes. Cheers for the reminder! """,0.75,Positive
"current weather in London: overcast, 5C, 76% humidity, wind 6kmh, pressure 1030mb",0.0,Neutral
"Avoid getting sick? Mate, I already caught a cold just by thinking about London weather.",-0.6571428571428571,Negative
RT : Your Thursday London Weather Summary brought to you by #NevGsLondonWeatherSummary,0.0,Neutral
,0.0,Neutral
"Thank you for all your support,",0.0,Neutral
RT : If youre successful I dont see why you would choose to live in London,0.4431818181818182,Positive
,0.0,Neutral
Too dangerous,-0.6,Negative
,0.0,Neutral
Shit weather,-0.2,Negative
,0.0,Neutral
Miserable people,-1.0,Negative
,0.0,Neutral
Do,0.0,Neutral
"RT : The action isn't just happening in London, over 100 farmers &amp; their tractors have gathered in York!",0.125,Positive
,0.0,Neutral
North Yorkshire We,0.0,Neutral
RT : Your Thursday London Weather Summary brought to you by #NevGsLondonWeatherSummary,0.0,Neutral
,0.0,Neutral
"Thank you for all your support,",0.0,Neutral
"RT : The action isn't just happening in London, over 100 farmers &amp; their tractors have gathered in York!",0.125,Positive
,0.0,Neutral
North Yorkshire We,0.0,Neutral
RT : Your Thursday London Weather Summary brought to you by #NevGsLondonWeatherSummary,0.0,Neutral
,0.0,Neutral
Thank you for all your support,0.0,Neutral
,0.0,Neutral
RT : If youre successful I dont see why you would choose to live in London,0.4431818181818182,Positive
,0.0,Neutral
Too dangerous,-0.6,Negative
,0.0,Neutral
Shit weather,-0.2,Negative
,0.0,Neutral
Miserable people,-1.0,Negative
,0.0,Neutral
Do,0.0,Neutral
"RT : 12th-14th December, 1901",0.0,Neutral
"A torrid period of weather down in Kent, eastern &amp; southern England. At Margate around 25mm's o",-0.07777777777777778,Negative
"12th-14th December, 1901",0.0,Neutral
"A torrid period of weather down in Kent, eastern &amp; southern England. At Margate around 25mm's of rain fell, a daily record on the 12th with strong winds and dark skies. London, Oxford, Dungeness &amp; Yarmouth all had heavy rain, strong winds &amp; gales too!",0.06706349206349208,Positive
"RT : Eeew frizzy hair weather today, hope its brighter in London Town",0.0,Neutral
you like the weather in London? We need Lavia depth,0.0,Neutral
#Heatforhire #London we have many going out to #SW3 #SW6 #E10 and #Docklands #UK #Weather,0.5,Positive
... MORE DANAGE TO KIDS+ADULTS LUNGS NOW FROM ALUMINIUM NANO PARTICLES FROM GEO-ENGINEERING OVER UK+LONDON TO INDUCE+KEEP CLOUDY WEATHER/CANOPY,0.5,Positive
Paediatrician,0.0,Neutral
,0.0,Neutral
"Eeew frizzy hair weather today, hope its brighter in London Town",0.0,Neutral
Have a great day to you,0.8,Positive
how is the weather in London,0.0,Neutral
A hundred or so tractors in Westminster?,0.0,Neutral
Less than March 2024 against #conservatives.,-0.16666666666666666,Negative
"Farmers are upset, a difficult time since Brexit and the last few years of weather.",-0.2333333333333333,Negative
"But they have been manipulated on IHT, and dont have widespread support.",0.0,Neutral
,0.0,Neutral
CONNECTICUT WEATHER: Flood Warning for New London County . #nbcct #ctwx,0.13636363636363635,Positive
"RT : The action isn't just happening in London, over 100 farmers &amp; their tractors have gathered in York!",0.125,Positive
,0.0,Neutral
North Yorkshire We,0.0,Neutral
Mountains of clouds.#Weather #London,0.0,Neutral
RT : Your Thursday London Weather Summary brought to you by #NevGsLondonWeatherSummary,0.0,Neutral
,0.0,Neutral
"Thank you for all your support,",0.0,Neutral
"""London weather builds character, but Id rather have warm toes. Cheers for the reminder! """,0.75,Positive
"current weather in London: overcast, 5C, 76% humidity, wind 6kmh, pressure 1030mb",0.0,Neutral
"Avoid getting sick? Mate, I already caught a cold just by thinking about London weather.",-0.6571428571428571,Negative
RT : Your Thursday London Weather Summary brought to you by #NevGsLondonWeatherSummary,0.0,Neutral
,0.0,Neutral
"Thank you for all your support,",0.0,Neutral
RT : If youre successful I dont see why you would choose to live in London,0.4431818181818182,Positive
,0.0,Neutral
Too dangerous,-0.6,Negative
,0.0,Neutral
Shit weather,-0.2,Negative
,0.0,Neutral
Miserable people,-1.0,Negative
,0.0,Neutral
Do,0.0,Neutral
"RT : The action isn't just happening in London, over 100 farmers &amp; their tractors have gathered in York!",0.125,Positive
,0.0,Neutral
North Yorkshire We,0.0,Neutral
RT : Your Thursday London Weather Summary brought to you by #NevGsLondonWeatherSummary,0.0,Neutral
,0.0,Neutral
"Thank you for all your support,",0.0,Neutral
"RT : The action isn't just happening in London, over 100 farmers &amp; their tractors have gathered in York!",0.125,Positive
,0.0,Neutral
North Yorkshire We,0.0,Neutral
RT : Your Thursday London Weather Summary brought to you by #NevGsLondonWeatherSummary,0.0,Neutral
,0.0,Neutral
"Thank you for all your support,",0.0,Neutral
"Europe: Arriving flights delayed at Amsterdam, Barcelona and London City airports because of weather conditions",0.0,Neutral
RT : Cold weather and Christmas lights &amp; London,-0.6,Negative
RT : Cold weather and Christmas lights &amp; London,-0.6,Negative
